Meta;State;Region;Road;Geo;Meters;Residue;;;;;;;
PH3;республика башкортостан;буздякский;undefined;туктаркуль,центральная,пальное;undefined; ремонт автомобильная дорога по ул.с.муницирайон район ;;;;;;;
PH3;республика башкортостан;буздякский;undefined;актау,пальное;undefined; ремонт автомобильная дорога по ул.идяши с.новомуницирайон район ;;;;;;;
PH3;республика башкортостан;буздякский;undefined;новое,пальное;undefined; восстановление изношенный слой автомобильная дорога по ул.60 годы ссср д.урамуницирайон район ;;;;;;;
PH3;республика башкортостан;буздякский;undefined;буздяк,красноармейская,пальное;undefined; восстановление изношенный слой автомобильная дорога по ул.с.муницирайон район ;;;;;;;
PH4;республика башкортостан;гафурийский;undefined;шаста,пальное;0+000-км,2+300; ремонт автомобильная дорога муницизначение имендяшево-тана участок км в район ;;;;;;;
PH3;республика башкортостан;дуванский;undefined;анзяк,центральная,пальное;undefined; ремонт участок дорога по ул. от д. №112 до д. №120 в с. муницирайон район ;;;;;;;
PH3;республика башкортостан;зианчуринский,зианчуринский;undefined;улица,улица,республика;undefined; выполнение работы по восстановление изношенные слои асфальтобетонный покрытие коммунистическая с. исянгуловое МР район ыполнение работы по восстановление изношенные слои асфальтобетонный покрытие коммунистическая с. исянгуловое МР район башкортостан;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, в то число улично-сети, и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH3;республика Башкортостан;кушнаренковский,кушнаренковский;undefined;садовая,сельское,пальное;undefined; ямочный ремонт дороги ул.Кирова, ул.Садовая, ул.Большевистская, ул.Поповича, ул.Островского, ул.Красноармейская, ул.Юрьева, ул.аллея, ул.Лесная, ул.мичурин с.кушнаренковое поселение сельсовет муницирайон район ;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH3;республика башкортостан;стерлитамакский;undefined;кантюковка,пальное;undefined; текущий ремонт автомобильные дороги ул. Фурманова, Полевая, Молодежная, Ахтямова, Школьная, конторская в д. муницирайон район ;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH3;республика Башкортостан;белебеевский;undefined;undefined;1,395,1,960; содержание автомобильные дороги общее пользование местное значение (восстановление изношенные верхние слои асфальтобетонные покрытия на автомобильная дорога общее пользование местное значение подъезд к АБЗ на участок км - км в район ;;;;;;;
PH4;республика Башкортостан;белебеевский;undefined;первомайская;0,000,0,158;,0,600,0,670;,0,710,1,236; содержание автомобильные дороги общее пользование местное значение (восстановление изношенные верхние слои асфальтобетонные покрытия на автомобильная дорога общее пользование местное значение с.Аксаково, ул.на участки км - км км - км км - км в район ;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH2;республика башкортостан;undefined;undefined;белорецк;undefined; выполнение работы по содержание автомобильные дороги общее пользование местное значение в город ;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;республика Башкортостан;undefined;undefined;undefined;undefined;" выполнение работы по асфальтирование придомой территория ТОС ""Таунхаус"" по адресу:  г. Салават, проспект Валиди, д.43";;;;;;;
PH3;республика Башкортостан;undefined;undefined;береговой,граница;29; выполнение работы по асфальтирование дорога по адресу:  г. Салават, пересечение ул. ахтямов и пер. Береговой, включая по пер. д. №№8,10,11,12,14 и по ул. Ахтямова, д. ;;;;;;;
PH2;республика башкортостан;undefined;undefined;улица,городское,дорожное;undefined; капитальный ремонт покрытие по юбилейная (от дом №16 до дом №28) микрорайон сарматы округ город сибай ;;;;;;;
PH2;республика башкортостан;undefined;undefined;улица,городское,дорожное;undefined; капитальный ремонт покрытие по энергетики (от дом №1 до дом №16) микрорайон сарматы округ город сибай ;;;;;;;
PH2;республика башкортостан;undefined;undefined;улица,городское,дорожное;undefined; капитальный ремонт покрытие по труд (от дом №16 до дом №28) микрорайон сарматы округ город сибай ;;;;;;;
PH2;республика башкортостан;undefined;undefined;улица,городское,дорожное;undefined; капитальный ремонт покрытие по сарматская (от дом №16 до дом №28) микрорайон сарматы округ город сибай ;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, в то число улично-сети, и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH3;республика башкортостан;туймазинский,троицкий;undefined;маркс;undefined; ремонт дорога по ул. к.(2 этап продолжение) с. нижнерайон ;;;;;;;
PH3;республика башкортостан;туймазинский;undefined;undefined;8,460,8,954; восстановление изношенные слои асфальтобетонные покрытия на автомобильная дорога кандра – ермухаметовое на участок км – км в район ;;;;;;;
PH1;undefined;undefined;undefined;орловка,становка;undefined; устройство искусственные неровности и удорожные знаки по ул. шаймуратов д.и ул. агышбай д. ильчигуловое;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH3;республика башкортостан;уфимский,ярский;undefined;чернолесовский;undefined; ремонт подходов, подъезды к модульный фельдшерско-акушерский пункты в с.сп красносельсовет район ;;;;;;;
PH3;республика башкортостан;уфимский,дмитриевский;undefined;дмитриевка,Волково,речная,волковое,волковое,пальное;undefined;" емонт проезд к школа филиал моб СОШ с. ООШ д. Волково, проезд к ул. зад. от а/д ""подъезд к д. , ул. и.данилюк д. сп сельсовет муницирайон район ";;;;;;;
PH2;республика бурятия;прибайкальский;undefined;undefined;undefined; выполнение работы по ремонт автомобильные дороги и искусственные дорожные сооружений: с. Ильинка, ул. Сосновая, ул. коммунистическая район ;;;;;;;
PH2;undefined;undefined;undefined;дворовое;30; ремонт проезд по адрес ул. мир г. северобайкальск;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт автомобильная дорога по ул. Д. Бедного, Минина, Водопадная, майская;;;;;;;
PH1;undefined;undefined;undefined;кедровый;undefined; ремонт гравийные дороги в район пер. г. горно-алтайск;;;;;;;
PH1;undefined;undefined;undefined;айская,становка;undefined; уавтобусный павильон с заездный карман по ул. горно-алтв район участковый пункт полиция мвд по г. горно-алтайск;;;;;;;
PH1;undefined;undefined;undefined;айская,становка;undefined; устройство автобусная ос разворотная площадка по ул. горно-алтв г. горно-алтайск;;;;;;;
PH2;undefined;буйнакский,буйнакский;undefined;чиркей;undefined; текущий ремонт ул. уллубий с.район;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; разметка проезжая часть дороги;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт асфальтобетонный покрытие;;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ямочный ремонт на территория г. сунжа;;;;;;;
PH2;республика калмыкия;undefined;undefined;городовиковск,городовиковск,площадь,площадь,республика;undefined; благоустройство им. в.и.ленин в г. (ремонт тротуары и проезды на им. В.И. ленин в г. Калмыкия);;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по ямочный ремонт автомобильная дорога;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по разметка проезжая часть автомобильная дорога;;;;;;;
PH3;карачаево-черкесская республика;карачаевский;undefined;первомайское;undefined; текущий ремонт дороги общее пользование местное значение в с. (ул. Заводская) малорайон ;;;;;;;
PH3;карачаево-черкесская республика;карачаевский;undefined;римгорское,учкекен;undefined; текущий ремонт дороги общее пользование местное значение в с. (ул. У. Алиева, ул. Красивая, ул. Молодежная, ул. Первомайская), в с. (ул. Къыбла) малорайон ;;;;;;;
PH2;undefined;прикубанский,мичуринский;undefined;пальное;undefined; ремонт гравийные дороги общее пользование Таллыкского, Майского, сельские поселения муницирайона, КЧР;;;;;;;
PH1;undefined;undefined;undefined;пархоменко,дорожная;undefined; выполнение работы по восстановление одежда и конструктивные части тротуары по ул. ватутин от ул. до ул. мичуринская в г. Петрозаводске.;;;;;;;
PH1;undefined;undefined;undefined;центральная;undefined; выполнение работы по объекту: выполнение работы по ремонт грунтовая дорога в с. Колатсельга, ул. от д.58 до д.84;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по приведение в нормативное состояние автомобильные дороги местное значение и улицы в населённые пункты административное центр мый «Ухта»;;;;;;;
PH1;undefined;undefined;undefined;undefined;70; обустройство проезды к земельный участкам, расположенные по адресу: с. Выльгорт, ул. годы победа;;;;;;;
PH1;undefined;Корткеросский;undefined;undefined;undefined; выполнение работы по ремонт отдельные участки автомобильные дороги в мо МР «.;;;;;;;
PH2;undefined;undefined;undefined;Буткан,канское;0+446;" выполнение работы по ремонт деревянный мост на км автомобильная дорога общее пользование местное значение ""подъезд к п. ыджыдъяги от автомобильная дорога республизначение ""Усогорск-";;;;;;;
PH1;undefined;undefined;undefined;Кослан,сельское,становка;undefined;" выполнение работы по удорожные знаки и обустройство пешеходные дорожные ограждения от нерегулируемый пешеходный перехода, проходящий вдоль здание МОУ ""косланская СОШ"" на участок автомобильная дорога общее пользование местное значение ""подъезд к районный суду"" на территория поселение """;;;;;;;
PH1;undefined;undefined;undefined;киров,пойма,улица,улица,улица,проходы;undefined; осуществление строительное контроль по объекту: «строительство магистральная в створ и строители в г. Йошкар-Ола» (мост без пролётный строения, в тело насыпи, земляное полотно в реки, дюкер);;;;;;;
PH3;undefined;сунтарский;undefined;пальная;52+800,58+000; капитальный ремонт мунициавтомобильная дорога «Крестях-Хордогой» на участок с км по км в улус;;;;;;;
PH2;undefined;алданский;undefined;undefined;2020; ремонтные работа объекты повреждённые в результат весенний паводок год в усть-район;;;;;;;
PH1;undefined;undefined;undefined;undefined;37,,37/1,,35,,33,,33/1; ремонт подъездные пути ул.Северная, п.жатай;;;;;;;
PH1;undefined;undefined;undefined;undefined;17; устройство проезд к дом ул.Матросова, п.жатай;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; текущий ремонт улицы г.владикавказ;;;;;;;
PH2;undefined;арский;undefined;новый,пальное;undefined;" «выполнение работы по организация пешеходные коммуникаций, в то число тротуары в с. кырлай муницирайон РТ""";;;;;;;
PH3;республика татарстан;бавлинский;undefined;советская,пальное;undefined; выполнение работы по отсыпка щебень дорога по ул.ленин от пересечение с ул.до ул.ленин д.71 в с.исергаповое муницирайон ;;;;;;;
PH3;республика татарстан;Мамадышский,мамадышский,красногорский;undefined;рожки,ферма №2,сельское,пальное;undefined;" организация пешеходные коммуникаций, в то число тротуаров, дов п. свх. "" поселение муницирайон ";;;;;;;
PH1;undefined;undefined;undefined;монашево,дорожное;undefined; ремонт покрытие (щебенение) в с.по ул.Ленина, Заречная, петров;;;;;;;
PH1;undefined;undefined;undefined;мензелинск;undefined; благоустройство территория по ул.тукающие д.64 г.рт;;;;;;;
PH3;республика татарстан;тукаевский;undefined;азьмушкино,сельское,пальное;undefined; выполнение работы по ремонт дорога в д.ул.ш.усманов азьмушкинский поселение муницирайон ;;;;;;;
PH2;undefined;тукаевский,троицкий;undefined;суровка,новосельское,республика,пальное;undefined; выполнение работы по устройство тротуар в д.поселение муницирайон тататрстан;;;;;;;
PH3;республика татарстан;тукаевский;undefined;лесная,пушка,сельское,пальное;undefined; выполнение работы по ремонт дороги в п.о(ул.Лесная, отрезок дорога между ул.и ул.Речная) малошильнинский поселение муницирайон ;;;;;;;
PH3;республика татарстан;тукаевский;undefined;полевая,сельское,пальное;undefined; выполнение работы по ремонт дороги в с.бетька по ул.Новая, ул.Центральная, в п.кама по ул.бетькинский поселение муницирайон ;;;;;;;
PH2;undefined;азнакаевский;undefined;сельское,пальное;undefined; организация пешеходные коммуникаций, в то число тротуары в д. маняузы агерзинский поселение муницирайон;;;;;;;
PH2;undefined;лениногорский;undefined;сельское,пальное,дорожная;undefined; организация пешеходные коммуникаций, в то число улично-сеть в н.п.шугуровое шугуровский поселение муницирайон;;;;;;;
PH2;undefined;лениногорский;undefined;сельское,пальное,дорожная;undefined; организация пешеходные коммуникаций, в то число улично-сеть в н.п.тимяшевое тимяшевский поселение муницирайон;;;;;;;
PH2;undefined;малопургинский;undefined;малая;undefined; устройство тротуар по адресу:УР, район, с.Пурга, ул.советская;;;;;;;
PH2;undefined;undefined;undefined;шаркан,советская,советская;41; устройство тротуар по ул. в с. (от д. по ул. до мост на ул. Коммунальная);;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по ремонт автомобильные дороги общее пользование местное значение в город ижевск;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт автомобильные парковки в город ижевск;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; щебенение;;;;;;;
PH3;республика Хакасия;аскизский;undefined;усть-чуль;undefined; выполнение работы по объекту: «реконструкция аварийное участок автомобильная дорога – илиморы – Политов в район ;;;;;;;
PH2;чеченская республика;undefined;undefined;аргун;undefined; ремонт автомобильная дорога по ул. саясановская г. ;;;;;;;
PH4;чувашская республика;арский;undefined;ойкас-кибеки,советская;70,86,78; ремонт грунтовая дорога от дом № по ул. ленин по переулок до ул. Советская, от дом № до № по ул. в д. вурнрайон ;;;;;;;
PH3;undefined;арский;undefined;солнечная,сельское;26,31,230; ремонт грунтовая дорога от дом № до дом № по ул. протяжённость м в д. авыр-сирма азимсирминский поселение вурнрайон чувашская республики;;;;;;;
PH3;чувашская республика;цивильский;undefined;переходы;undefined; обустройство пешеходные на автомобильные дороги общее пользование местное значение район ;;;;;;;
PH2;чувашская республика;undefined;undefined;канаш,дорожная,лезно;undefined;" выполнение работы по ремонт участки автомобильная дорога ""ул. Жев город ";;;;;;;
PH2;чувашская республика;undefined;undefined;средняя,смена;undefined; ремонт асфальтобетонный покрытия, ремонт отмосток, бордюры мбоу «общеобразовательная школа №2» город новочебоксарск ;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт асфальтобетонный покрытие;;;;;;;
PH3;чувашская республика;undefined;undefined;первомайская,воровая;29а); ремонт асфальтобетонный покрытие дтерритории многоквартирный дом и проезды к дворовый территории многоквартирный дом (ул. в город новочебоксарск ;;;;;;;
PH2;undefined;undefined;undefined;луговая,Чандрово,Чандрово,возрождение,чебоксары,чебоксары;33;" выполнение работы по ремонт дороги в коттеджный посёлок "" в г. на участки от дом №64/2 до №32 по ул.Возрождения, от дом №21 до дом по ул. Весенняя, ремонт дороги в коттеджный посёлок "" в г. на участки от дом №64/2 по ул. до дом №12/35 по ул.Луговая, от дом №29 по ул.до дом №40 по ул.Лазурная, от дом №27 до дом №43 по ул.майская";;;;;;;
PH1;undefined;undefined;undefined;красноармейская,улица,улица;undefined; выполнение работы по ремонт дороги на участки автономная от дом №1 до дом №13, от дом №16 до дом №20 в микрорайоне, ограниченный ул. водопроводная и К. иванов в г. чебоксары;;;;;;;
PH1;undefined;undefined;undefined;undefined;2.; благоустройство терренкур от санаторий «Белокуриха» до санаторий «Сибирь». этап вход от скульптура «Олени».;;;;;;;
PH1;undefined;северный;undefined;undefined;undefined; выполнение работы по строительство автомобильная дорога по проезд власихинский от ул.попов до проспект энергетики в г.барнаул;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; устранение трещины в асфальтобетонный покрытие автомобильные дороги в г.белореченск;;;;;;;
PH2;undefined;арский;undefined;дорожное;undefined; ремонт покрытие автомобильная дорога по ул.луначв г.белореченск;;;;;;;
PH2;undefined;белореченский;undefined;городское;undefined; ремонт автобусные павильоны на территория поселение;;;;;;;
PH2;undefined;undefined;undefined;жилое,гоголь;24); ремонт тротуар по ул. (вдоль многоквартирный дом по ул. Гоголя, в г. белореченск;;;;;;;
PH2;undefined;undefined;undefined;интернациональная;187; ремонт тротуар по ул. (от ул.8 март до № А) в г. белореченск;;;;;;;
PH1;undefined;undefined;undefined;речная,чапаев,чапаев;undefined; ремонт автомобильная дорога по ул. проточная (от ул. весёлая до ул. Чапаева) в г. Белореченске. ремонт автомобильная дорога по ул. (от ул. проточная до ул. Приречной) в г. Белореченске. ремонт автомобильная дорога по ул. при(от ул. до ул. Красной) в г. Белореченске.;;;;;;;
PH1;undefined;undefined;undefined;победа;undefined; выполнение работы по восстановление несущая способность тротуары из плитка по ул. в район кинотеатр «Восход»;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; благоустройство территория мбоу СОШ №7 им. К.К. рокоссовский;;;;;;;
PH2;undefined;undefined;undefined;красная;0+00,2+94; ремонт автомобильная дорога по ул. от пк (ул. Красная) до пк в с. новоукраинское;;;;;;;
PH1;undefined;undefined;undefined;становка;undefined; удорожные знаки и пешеходные ограждения в пгт. Мостовском.;;;;;;;
PH1;undefined;северский;undefined;undefined;undefined; ремонт дорога по ул. воронов в пгт афипскомы район;;;;;;;
PH3;краснодарский край;северский;undefined;родниковая;undefined; тротуар по ул. в пгт. Ильском, района, ;;;;;;;
PH2;краснодарский край;арский,арский,славянский,славянский;undefined;undefined;undefined;" реализация мероприятия подпрограмма ""Строительство, реконструкция, капитальный ремонт и ремонт автомобильные дороги общее пользование местное значение на территория краснодкрая"" в городской поселение район государственная программа ""развитие сеть автомобильные дороги краснодкрая""";;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; услуги автогрейдер по грейдирование автомобильные дороги вне границы населённый пункт;;;;;;;
PH2;undefined;тбилисский;undefined;undefined;118,188; благоустройство ул. колхозная (устройство тротуара) от дом № до дом № в с. шереметьевский район;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт тротуар по ул. некрасов;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт обочина по ул. некрасов;;;;;;;
PH1;undefined;undefined;undefined;красная,тарск;undefined; ремонт асфальтобетонная автомобильная дорога общее пользование местное значение Тимашевск- Приморско –ах(район участок по ул. комаров от ул. до ул. Колесникова) г. тимашевск;;;;;;;
PH3;undefined;тимашевский;undefined;сельское;2020; ремонт гравийные дороги в роговский поселение район на год;;;;;;;
PH2;undefined;михайловский,туапсинский;undefined;берег;undefined; ремонт тротуар левый река Нечепсухо в пгт новорайон (2 очередь);;;;;;;
PH1;undefined;майский,михайловский,туапсинский;undefined;undefined;undefined; бетонирование дороги по ул. горняки и пер. первов пгт. новорайон;;;;;;;
PH3;красноярский край;березовский;undefined;березовка;undefined; выполнение работы по устройство тротуар из брусчатка в посёлок район ;;;;;;;
PH1;undefined;undefined;undefined;undefined;30;" обустройство пешеходный перехода, расположенное вблизи образовательные учреждения мдоу детский сад ""Солнышко"", мдоу ""рассветовская СОШ"" по адресу: п. Рассвет, ул. годы Победы,31";;;;;;;
PH1;undefined;емельяновский;undefined;undefined;undefined; ремонт участки автомобильные дороги общее пользование местное значение на территория район;;;;;;;
PH3;красноярский край;ейский;undefined;дорожное;undefined; реализация мероприятий, направленные на повышение безопасность движение озерновский сельсовет енисрайон ;;;;;;;
PH3;undefined;бейский;undefined;сергеевка,советская,дорожное;300м; выполнение работы по ремонт покрытие протяжённость ул. д. иррайон;;;;;;;
PH1;undefined;undefined;undefined;дорожное,дорожная;undefined; выполнение работы по объект «обустройство участки улично-сеть вблизи образовательные организации для обеспечение безопасность движение в с. Галанино, ул. Енисейская, мбдоу галанинский детский сад»;;;;;;;
PH1;undefined;undefined;undefined;дорожная;undefined; обустройство участки уличное - сеть;;;;;;;
PH2;красноярский край;козульский;undefined;undefined;undefined; выполнение всё комплекс работы по ремонт автомобильная дорога общее пользование местное значение проезд ул.приречная-ул.свердлов в пгт.козулька район ;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; отсыпка обочины отремонтированные участки дороги в посёлок раздолинск;;;;;;;
PH2;undefined;мотыгинский;undefined;становка,долинск,дорожное;undefined; выполнение работы по содержание автомобильные дороги общее пользования, в то число обеспечение безопасность движение (восстановление изношенная разметка и унедостающие дорожные знаки на автомобильные дороги местное значение п. разрайон;;;;;;;
PH1;undefined;undefined;undefined;нижняя,переходы;undefined; обустройство пешеходные на автомобильные дороги общее пользование местное значение мо посёлок пойма;;;;;;;
PH2;undefined;ейский;undefined;новое;undefined; работа по ликвидация коля и другие неровности методы фрезерования, термопрофилирование или холодная регенерация старые конструктивные слои с добавление органические и неорганические материалы и укладка слой покрытие участок автомобильная дороги, ул. Шевченко, гп Северо-Енис;;;;;;;
PH1;undefined;undefined;undefined;сухобузимское,степная;undefined; ремонт автомобильные дороги общее пользование местное значения, с. ул. (от ул. Комсомольская);;;;;;;
PH1;undefined;undefined;undefined;полосы,дорожная;undefined; работа строительные по строительство автомагистралей, автомобильные дорог, улично-сеть и прочие автомобильные или пешеходные дорог, и взлётно-посадочные аэродромы;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; восстановление тротуар по адресу: с. Михайловка, ул. школьная;;;;;;;
PH1;undefined;undefined;undefined;переход;undefined; устройство пешеходный вблизи образовательное учреждение;;;;;;;
PH1;undefined;undefined;undefined;становка,дорожная;undefined; удорожно-знаковая информация и нанесение разметка д. Белоозерка, с. новоалтаток;;;;;;;
PH2;undefined;шарыповский,центральный;undefined;становка,дорожная;undefined; удорожно-знаковая информация и нанесение разметка в с. Ивановка, проезд район;;;;;;;
PH1;undefined;undefined;undefined;шенское;undefined; обустройство пешеходный перехода, расположенное вблизи образовательное учреждение школа №3 в пгт шупо ул. победа;;;;;;;
PH1;undefined;undefined;undefined;становка;undefined; выполнение работы по усветофорные объекты тип Т7 и знаковая информация вблизи общеобразовательные учреждения;;;;;;;
PH1;undefined;undefined;undefined;дорожное,дорожная;undefined; выполнение работы по обустройство участки улично-сеть вблизи образовательные организации для обеспечение безопасность движение в г. дивногорск;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по ремонт мост через р. тарайк;;;;;;;
PH2;undefined;undefined;undefined;октябрь,куйбышев;40; выполнение работы по ремонт участок автодорога по ул. годы от ул. до ул. краснодонская;;;;;;;
PH1;undefined;undefined;undefined;дорожная;undefined; выполнение работы по нанесение горизонтальная разметка;;;;;;;
PH1;undefined;undefined;undefined;становка;undefined; работа по замена и унедостающие дорожные ограждения (барьерных, пешеходных, декоративных);;;;;;;
